           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.05326900      0.2541890       7769.022     0.07955598       64.09336     -125.93623       6941.662    -0.00173588       -63.0269
    -0.04936000      0.2492966       7769.052     0.07955831       64.09709     -125.92024       6941.821    -0.00177253       -63.0226
    -0.04545600      0.2444105       7769.079     0.07956070       64.10031     -125.90393       6941.982    -0.00180588       -63.0184
    -0.04155800      0.2395319       7769.105     0.07956315       64.10326     -125.88742       6942.145    -0.00183717       -63.0143
    -0.03766600      0.2346608       7769.140     0.07956563       64.10616     -125.87159       6942.310    -0.00187940       -63.0103
    -0.03377900      0.2297960       7769.190     0.07956813       64.10917     -125.85699       6942.476    -0.00194075       -63.0066
    -0.02990000      0.2249412       7769.262     0.07957065       64.11247     -125.84409       6942.644    -0.00202843       -63.0030
    -0.02602700      0.2200939       7769.380     0.07957318       64.11708     -125.83460       6942.812    -0.00217074       -62.9996
    -0.02216100      0.2152553       7769.534     0.07957572       64.12264     -125.82791       6942.981    -0.00235835       -62.9963
    -0.01830200      0.2104255       7769.716     0.07957828       64.12876     -125.82329       6943.153    -0.00257936       -62.9933
    -0.01445200      0.2056070       7769.922     0.07958085       64.13530     -125.82047       6943.326    -0.00282959       -62.9904
    -0.01060900      0.2007972       7770.149     0.07958341       64.14214     -125.81930       6943.501    -0.00310477       -62.9877
    -0.00677500      0.1959987       7770.386     0.07958597       64.14887     -125.81909       6943.676    -0.00339252       -62.9852
    -0.00295000      0.1912115       7770.615     0.07958853       64.15474     -125.81857       6943.852    -0.00367159       -62.9830
     0.00086600      0.1864355       7770.830     0.07959110       64.15948     -125.81718       6944.028    -0.00393166       -62.9811
     0.00467200      0.1816721       7771.020     0.07959366       64.16286     -125.81432       6944.205    -0.00416348       -62.9793
     0.00846900      0.1769199       7771.163     0.07959621       64.16402     -125.80821       6944.381    -0.00433678       -62.9778
     0.01225500      0.1721815       7771.253     0.07959877       64.16279     -125.79846       6944.556    -0.00444549       -62.9764
     0.01603000      0.1674568       7771.303     0.07960132       64.15971     -125.78608       6944.731    -0.00450631       -62.9752
     0.01979300      0.1627472       7771.318     0.07960389       64.15492     -125.77142       6944.905    -0.00452497       -62.9743
     0.02354500      0.1580513       7771.305     0.07960646       64.14864     -125.75500       6945.078    -0.00450931       -62.9735
     0.02728400      0.1533717       7771.268     0.07960904       64.14112     -125.73710       6945.250    -0.00446454       -62.9729
     0.03101100      0.1487071       7771.213     0.07961162       64.13271     -125.71803       6945.420    -0.00439718       -62.9724
